Anseongella ginsenosidimutans
Aphanothece_B sacrum
Aphodousia secunda_B
Apibacter adventoris
Apibacter muscae
Apibacter raozihei
Apilactobacillus ozensis
Apilactobacillus xinyiensis
Aquarickettsia rohweri
Aquicoccus porphyridii
Aquimarina aggregata
Aquimarina algiphila
Aquimarina latercula
Aquimarina megaterium
Aquimarina muelleri
Aquincola tertiaricarbonis_A
Aquirufa antheringensis
Aquisalinus flavus
Aquisalinus luteolus
Aquitalea aquatilis
Aquitalea magnusonii
Aquitalea pelogenes
Arachnia flava
Arachnia lapidicapta
Arcanobacterium haemolyticum
Arcanobacterium phocae_A
Arenibacter algicola
Arenibacter amylolyticus
Arenibacter certesii
Arenibacterium_A arenosum
Arenitalea lutea
Arhodomonas aquaeolei
Aromatoleum aromaticum
Aromatoleum bremense
Aromatoleum petrolei
Arsenicicoccus bolidensis
Arsenophonus apicola
Arsenophonus nasoniae
Arthrobacter chlorophenolicus
Arthrobacter enclensis
Arthrobacter humicola
Arthrobacter nitrophenolicus
Arthrobacter oryzae_A
Arthrobacter oxydans
Arthrobacter phenanthrenivorans
Arthrobacter polychromogenes
Arthrobacter sulfonivorans_A
Arthrobacter_B jiangjiafuii
Arthrobacter_B koreensis
Arthrobacter_B luteolus
Arthrobacter_B sunyaminii
Arthrobacter_B yangruifuii
Arthrobacter_D agilis
Arthrobacter_E woluwensis
Arthrobacter_F crystallopoietes
Arthrobacter_F crystallopoietes_B
Arthrobacter_F sulfonylureivorans
Arthrobacter_G cupressi
Arthrobacter_H rhombi
Arthrobacter_K bambusae
Arthrobacter_K terricola
Asaia bogorensis
Asanoa ferruginea
Asanoa ishikariensis
Atlantibacter hermannii
Atopomonas hussainii
Aulosira anomala_A
Aulosira diplosiphon
Aulosira tenue
Aureimonas altamirensis
Aureimonas altamirensis_A
Aureimonas jatrophae
Aureimonas phyllosphaerae
Auritidibacter ignavus
Austwickia chelonae
Avibacterium gallinarum
Azoarcus olearius
Azoarcus_C communis
Azonexus denitrificans_A
Azonexus fungiphilus
Azorhizobium caulinodans
Azospira oryzae
Azospirillum agricola
Azospirillum doebereinerae
Azospirillum lipoferum
Azospirillum melinis
Azospirillum oleiclasticum
Azospirillum oryzae
Azotobacter beijerinckii
Azotobacter chroococcum
Bacilliculturomica massiliensis
Bacillus gobiensis
Bacillus_A rhizoplanae
Bacillus_AB infantis
Bacillus_AG koreensis_A
Bacillus_AH lenta
Bacillus_AZ foraminis
Bacillus_AZ maritimus
Bacillus_AZ zeae
Bacillus_BJ canaveralius
Bacillus_BM vietnamensis_A
Bacillus_BV luteolus
Bacillus_H oshimensis
Bacillus_H xiaoxiensis
Bacillus_P dongyingensis
Bacillus_P idriensis
Bacillus_P indicus
Bacteroides acidifaciens
Bacteroides bouchesdurhonensis
Bacteroides clarus
Bacteroides congonensis
Bacteroides cutis
Bacteroides faecichinchillae
Bacteroides faecis
Bacteroides heparinolyticus
Bacteroides oleiciplenus
Bacteroides reticulotermitis
Bacteroides stercorirosoris
Bacteroides zoogleoformans
Bariatricus comes
Bariatricus massiliensis
Barnesiella intestinihominis
Barnesiella merdigallinarum
Barrientosiimonas humi
Bartonella alsatica
Bartonella rochalimae
Bartonella schoenbuchensis
Bartonella_A apis
Bartonella_A apis_A
Basfia bettyae
Basfia succiniciproducens
Basfia_A succinogenes
Basilea psittacipulmonis
Bdellovibrio bacteriovorus
Beggiatoa leptomitoformis
Belliella aquatica
Belnapia rosea
Bermanella marisrubri
Berryella intestinalis
Bhargavaea beijingensis
Bhargavaea ginsengi
Bieblia_A vinaykumarii
Bifidobacterium apousia
Bifidobacterium asteroides
Bifidobacterium choladohabitans
Bifidobacterium lemurum
Bifidobacterium moukalabense
Bifidobacterium polysaccharolyticum
Bifidobacterium pullorum
Bifidobacterium simiiventris
Biomaibacter acetigenes
Bittarella massiliensis
Bizionia saleffrena
Blastococcus saxobsidens
Blastomonas delafieldii_A
Blastomonas fulva
Blastomonas ursincola
Blattabacterium cuenoti_B
Blattabacterium cuenoti_C
Blattabacterium cuenoti_D
Blattabacterium punctulatus
Blautia hansenii
Blautia ornithocaccae
Blautia pseudococcoides
Blautia stercoris
Blautia_A caecimuris
Blautia_A faecis
Blautia_A hydrogenotrophica
Blautia_A intestinalis
Blautia_A luti
Blautia_A massiliensis
Blautia_A massiliensis subspecies 1
Blautia_A massiliensis subspecies 2
Blautia_A massiliensis subspecies 3
